Head,Backbone,Epochs,CFCBK,FCBK,Zigzag,Weighted mAP@50,mAP@50:95,mAP@50,mAP@75,CA mAP@50:95,CA mAP@50,CA mAP@75,Precision,Recall,F1
OrientedRCNN old,resnet50,12,0.000000,0.000000,0.406103,0.372476,0.037411,0.135368,0.007587,0.114841,0.418964,0.019798
ROI Transformer,swin_tiny,17,0.325377,0.506376,0.531856,0.347659,0.162329,0.454536,0.071561,0.220814,0.571862,0.111299,0.456486,0.714491,0.556821
